id,name
0073,Lash Miller Chemistry Labs
0028,Architecture Bldg.
X073,Lash Miller Outside
0072,Ramsay Wright Zoological Labs
0064,Graduate House
0930,CAMH ( 250 College )
B006,T. Fisher Rare Books Library
0024,Haultain Bldg.
0418,Pontifical Inst.
0421,Teefy Hall
0401,Loretto College
0025,Fitzgerald Bldg.
0010,Simcoe Hall
0066,665 Spadina Ave
0110,121 St George St
0068,Benson Bldg.
0130,Woodsworth College Residence
0036,Astronomy & Astrophysics Building
0062,Earth Science Centre
0056,Graduate Student Union
0034,Massey College
0530,63 65 Charles St W
XVIC,Victoria Outside
0416,Windle House
A098,Regis College - 100 Wellesley
0012,Munk Centre
0528,Lillian Massey Bldg.
0430,Cardinal Flahiff Building
0675,Wycliffe College
097A,McLuhan Program
XINN,Innis Outside
XLAW,Near Law Library
B010,Convocation Tent
XVAR,Varsity
XMUS,Near Music
0514,E.J. Pratt Library
0407,Alumni Hall
0098,90 Wellesley
XXSU,Outside Student Union
0435,Sobara Residence
XSMC,SMC Outside
0115,Rotman School of Management - South
0071,92 College St.
0105,Fields Institute
XXBC,Back Campus
0155,Examination Centre - 255 McCaul
0423,Maritain House
XXFC,Front Campus
0518,Rowell Jackman Hall
0091,Glen Morris Theatre ( 4 Glen Morris )
0082,Gage Research Bldg
0603,George Ignatieff Theatre
0075,Faculty Club
0054,1 Spadina Crescent
0040,Flavelle House
0016,Banting Institute
0038,Woodsworth College
A032,Wilson Hall-New College
0195,MaRS Centre
0104,Max Gluskin House
0132,Innis College
0033,Sidney Smith Hall
0079,Anthropology Building
0192,Stewart Bulding
0083,254-256 McCaul St.
0003,Gerstein Science Information Centre
0152,500 University
A061,North Borden Bldg.
0006,Robarts Research Library
0097,Medieval Studies Centre
A006,Bissell Bldg.
0077,Sussex Court
0042,Goldring Centre
0080,Bahen Centre for Information Technology
0420,Fisher Hall
0146,40 Sussex Ave
0008,Wallberg Bldg.
0004,McMurrich Bldg.
0575,Knox College
0145,Koffler House
0106,162 St George St
0078,McLennan Physical Labs
0131,New College Residence
0067,215 Huron St.
0061,South Borden Bldg.
0134,Rotman School of Management
0143,Koffler Student Services Centre
0021,Engineering Annex
0032,Wetmore Hall-New College
0128,Jackman Humanities Building
0133,Innis Residence
X033,Sid Smith Outside
0160,Donnelly Centre Cellular & Biomolecular Research
0154,Health Sciences Bldg
0065,Dentistry Bldg.
0049,Aerospace Building
0127,172 St George St
A068,Warren Stevens Bldg.
0103,School of Continuing Studies
0101,Morrison Residence
0158,Chestnut Residence
0052,Best Building
0005,Medical Sciences Bldg.
0508,Margaret Addison Hall
0161,Leslie L. Dan Pharmacy Bldg
0156,263 McCaul Street
0089,Munk School
0019,J. Robert S. Prichard Alumni House
0057,Bancroft Hall
0047,Canadiana Gallery
0039,49 St. George St. ( Old TYP )
A008,D.L. Pratt
0020,Rosebrugh Bldg.
0030,Varsity Stadium
0011,Tanz Neuroscience Bldg
0070,Galbraith Bldg.
0411,Brennan Hall
0009,Sandford Fleming
0007,Lassonde Mining Bldg.
0194,481 University Ave
0014,UTS
0088,123 St George St
A005,Macleod Auditorium (MSB)
0043,School of Graduate Studies
0600,Trinity College
0022,Mechanical Engineering Bldg.
0417,Phelan House
0026,Cumberland House
0053,Inst. of Child Study
0129,Early Learning Centre
XNEW,New College Outside
B012,Graham Library
0419,More Hall
0507,Goldring Student Centre
0125,703 Spadina Ave.
0509,Isabel Bader Theatre
0602,Gerald Larkin Bldg.
0111,246 Bloor St. W.
0023,University College Union
0013,Whitney Hall
XROB,Robarts Outside
XMSB,MSB Outside
0515,Northrop Frye Hall
A010,Convocation Hall
0502,Emmanuel College
0123,Ontario Inst. For Studies In Education
0001,University College
0051,Edward Johnson Bldg.
0504,Burwash Hall
0506,Annesley Hall
0027,Physical Geography Building
0138,Campus Co-op Day Care 370 Huron St.
XWDW,Woodsworth Outside
0503,Birge-Carnegie
0455,5 Elmsley Place
0002,Hart House
A030,Varsity Arena
0050,Falconer Hall
XESC,ESC Outside
0171,455 Spadina Ave.
0453,3 Elmsley Place
0142,713 Spadina Ave.
0434,Toronto School of Theology
0041,Varsity Pavilion
0172,MacDonald-Mowat House
0426,Carr Hall
0608,St. Hildas College
0090,88 College St.
0501,Victoria College
0120,UTSU
0405,Elmsley Hall
0443,39 Queens Park Cres. E.
0415,Odette Hall
0153,56 Spadina Rd.
0429,Kelly Library
0029,Sir Daniel Wilson Residence
